Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,serial_number,1,,
Data,0,file_id,type,"4",,manufacturer,"255",,product,"0",,time_created,"1029519549",,serial_number,"506013083",,
Definition,0,device_info,device_index,1,,manufacturer,1,,product,1,,product_name,13,,serial_number,1,,software_version,1,,timestamp,1,,
Data,0,device_info,device_index,"0",,manufacturer,"255",,product,"0",,product_name,"FIT Cookbook",,serial_number,"506013083",,software_version,"1.0",,timestamp,"1029519549",s,
Definition,0,event,timestamp,1,,event,1,,event_type,1,,,,,,,,,,,,,,
Data,0,event,timestamp,"1029519549",s,event,"0",,event_type,"0",,,,,,,,,,,,,,
Definition,0,developer_data_id,application_id,16,,developer_data_index,1,,,,,,,,,,,,,,,,,
Data,0,developer_data_id,application_id,"1|1|2|3|5|8|13|21|34|55|89|255|255|121|98|255",,developer_data_index,"0",,,,,,,,,,,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,units,10,,native_mesg_num,1,,,,,,,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"0",,fit_base_type_id,"136",,units,"doughnuts",,native_mesg_num,"18",,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,field_name,11,,units,4,,native_field_num,1,,native_mesg_num,1,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"1",,fit_base_type_id,"2",,field_name,"Heart Rate",,units,"bpm",,native_field_num,"3",,native_mesg_num,"20",,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,native_mesg_num,1,,field_name,8,,units,12,,,,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"2",,fit_base_type_id,"142",,native_mesg_num,"18",,field_name,"thingys",,units,"thingys/min",,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,native_mesg_num,1,,field_name,14,,,,,,,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"3",,fit_base_type_id,"7",,native_mesg_num,"18",,field_name,"message field",,,,,,,,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,heart_rate,1,,cadence,1,,power,1,,altitude,1,,position_lat,1,,position_long,1,,Heart Rate,1,,
Data,0,record,timestamp,"1029519549",s,distance,"0.0",m,speed,"1.0",m/s,heart_rate,"126",bpm,cadence,"0",rpm,power,"150",watts,altitude,"-127.0",m,position_lat,"0",semicircles,position_long,"0",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-127.0",m,Heart Rate,"126",bpm,
Data,0,record,timestamp,"1029519550",s,distance,"1.0",m,speed,"1.0",m/s,heart_rate,"134",bpm,cadence,"1",rpm,power,"150",watts,altitude,"-126.0",m,position_lat,"0",semicircles,position_long,"107",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-126.0",m,Heart Rate,"134",bpm,
Data,0,record,timestamp,"1029519551",s,distance,"2.0",m,speed,"1.0",m/s,heart_rate,"142",bpm,cadence,"2",rpm,power,"150",watts,altitude,"-125.0",m,position_lat,"0",semicircles,position_long,"214",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-125.0",m,Heart Rate,"142",bpm,
Data,0,record,timestamp,"1029519552",s,distance,"3.0",m,speed,"1.0",m/s,heart_rate,"150",bpm,cadence,"3",rpm,power,"150",watts,altitude,"-124.0",m,position_lat,"0",semicircles,position_long,"322",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-124.0",m,Heart Rate,"150",bpm,
Data,0,record,timestamp,"1029519553",s,distance,"4.0",m,speed,"1.0",m/s,heart_rate,"158",bpm,cadence,"4",rpm,power,"150",watts,altitude,"-123.0",m,position_lat,"0",semicircles,position_long,"429",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-123.0",m,Heart Rate,"158",bpm,
Data,0,record,timestamp,"1029519554",s,distance,"5.0",m,speed,"1.0",m/s,heart_rate,"166",bpm,cadence,"5",rpm,power,"150",watts,altitude,"-122.0",m,position_lat,"0",semicircles,position_long,"536",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-122.0",m,Heart Rate,"166",bpm,
Data,0,record,timestamp,"1029519555",s,distance,"6.0",m,speed,"1.0",m/s,heart_rate,"173",bpm,cadence,"6",rpm,power,"150",watts,altitude,"-121.0",m,position_lat,"0",semicircles,position_long,"643",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-121.0",m,Heart Rate,"173",bpm,
Data,0,record,timestamp,"1029519556",s,distance,"7.0",m,speed,"1.0",m/s,heart_rate,"181",bpm,cadence,"7",rpm,power,"150",watts,altitude,"-120.0",m,position_lat,"0",semicircles,position_long,"750",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-120.0",m,Heart Rate,"181",bpm,
Data,0,record,timestamp,"1029519557",s,distance,"8.0",m,speed,"1.0",m/s,heart_rate,"188",bpm,cadence,"8",rpm,power,"150",watts,altitude,"-119.0",m,position_lat,"0",semicircles,position_long,"857",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-119.0",m,Heart Rate,"188",bpm,
Data,0,record,timestamp,"1029519558",s,distance,"9.0",m,speed,"1.0",m/s,heart_rate,"195",bpm,cadence,"9",rpm,power,"150",watts,altitude,"-118.0",m,position_lat,"0",semicircles,position_long,"965",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-118.0",m,Heart Rate,"195",bpm,
Data,0,record,timestamp,"1029519559",s,distance,"10.0",m,speed,"1.0",m/s,heart_rate,"201",bpm,cadence,"10",rpm,power,"150",watts,altitude,"-117.0",m,position_lat,"0",semicircles,position_long,"1072",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-117.0",m,Heart Rate,"201",bpm,
Data,0,record,timestamp,"1029519560",s,distance,"11.0",m,speed,"1.0",m/s,heart_rate,"207",bpm,cadence,"11",rpm,power,"150",watts,altitude,"-116.0",m,position_lat,"0",semicircles,position_long,"1179",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-116.0",m,Heart Rate,"207",bpm,
Data,0,record,timestamp,"1029519561",s,distance,"12.0",m,speed,"1.0",m/s,heart_rate,"213",bpm,cadence,"12",rpm,power,"150",watts,altitude,"-115.0",m,position_lat,"0",semicircles,position_long,"1286",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-115.0",m,Heart Rate,"213",bpm,
Data,0,record,timestamp,"1029519562",s,distance,"13.0",m,speed,"1.0",m/s,heart_rate,"219",bpm,cadence,"13",rpm,power,"150",watts,altitude,"-114.0",m,position_lat,"0",semicircles,position_long,"1393",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-114.0",m,Heart Rate,"219",bpm,
Data,0,record,timestamp,"1029519563",s,distance,"14.0",m,speed,"1.0",m/s,heart_rate,"224",bpm,cadence,"14",rpm,power,"150",watts,altitude,"-113.0",m,position_lat,"0",semicircles,position_long,"1500",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-113.0",m,Heart Rate,"224",bpm,
Data,0,record,timestamp,"1029519564",s,distance,"15.0",m,speed,"1.0",m/s,heart_rate,"229",bpm,cadence,"15",rpm,power,"150",watts,altitude,"-112.0",m,position_lat,"0",semicircles,position_long,"1608",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-112.0",m,Heart Rate,"229",bpm,
Data,0,record,timestamp,"1029519565",s,distance,"16.0",m,speed,"1.0",m/s,heart_rate,"234",bpm,cadence,"16",rpm,power,"150",watts,altitude,"-111.0",m,position_lat,"0",semicircles,position_long,"1715",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-111.0",m,Heart Rate,"234",bpm,
Data,0,record,timestamp,"1029519566",s,distance,"17.0",m,speed,"1.0",m/s,heart_rate,"238",bpm,cadence,"17",rpm,power,"150",watts,altitude,"-110.0",m,position_lat,"0",semicircles,position_long,"1822",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-110.0",m,Heart Rate,"238",bpm,
Data,0,record,timestamp,"1029519567",s,distance,"18.0",m,speed,"1.0",m/s,heart_rate,"241",bpm,cadence,"18",rpm,power,"150",watts,altitude,"-109.0",m,position_lat,"0",semicircles,position_long,"1929",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-109.0",m,Heart Rate,"241",bpm,
Data,0,record,timestamp,"1029519568",s,distance,"19.0",m,speed,"1.0",m/s,heart_rate,"245",bpm,cadence,"19",rpm,power,"150",watts,altitude,"-108.0",m,position_lat,"0",semicircles,position_long,"2036",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-108.0",m,Heart Rate,"245",bpm,
Data,0,record,timestamp,"1029519569",s,distance,"20.0",m,speed,"1.0",m/s,heart_rate,"247",bpm,cadence,"20",rpm,power,"150",watts,altitude,"-107.0",m,position_lat,"0",semicircles,position_long,"2143",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-107.0",m,Heart Rate,"247",bpm,
Data,0,record,timestamp,"1029519570",s,distance,"21.0",m,speed,"1.0",m/s,heart_rate,"250",bpm,cadence,"21",rpm,power,"150",watts,altitude,"-106.0",m,position_lat,"0",semicircles,position_long,"2251",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-106.0",m,Heart Rate,"250",bpm,
Data,0,record,timestamp,"1029519571",s,distance,"22.0",m,speed,"1.0",m/s,heart_rate,"251",bpm,cadence,"22",rpm,power,"150",watts,altitude,"-105.0",m,position_lat,"0",semicircles,position_long,"2358",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-105.0",m,Heart Rate,"251",bpm,
Data,0,record,timestamp,"1029519572",s,distance,"23.0",m,speed,"1.0",m/s,heart_rate,"252",bpm,cadence,"23",rpm,power,"150",watts,altitude,"-104.0",m,position_lat,"0",semicircles,position_long,"2465",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-104.0",m,Heart Rate,"252",bpm,
Data,0,record,timestamp,"1029519573",s,distance,"24.0",m,speed,"1.0",m/s,heart_rate,"253",bpm,cadence,"24",rpm,power,"150",watts,altitude,"-103.0",m,position_lat,"0",semicircles,position_long,"2572",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-103.0",m,Heart Rate,"253",bpm,
Data,0,record,timestamp,"1029519574",s,distance,"25.0",m,speed,"1.0",m/s,heart_rate,"254",bpm,cadence,"25",rpm,power,"150",watts,altitude,"-102.0",m,position_lat,"0",semicircles,position_long,"2679",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-102.0",m,Heart Rate,"254",bpm,
Data,0,record,timestamp,"1029519575",s,distance,"26.0",m,speed,"1.0",m/s,heart_rate,"253",bpm,cadence,"26",rpm,power,"150",watts,altitude,"-101.0",m,position_lat,"0",semicircles,position_long,"2786",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"-101.0",m,Heart Rate,"253",bpm,
